"age","frequency_wellness_routine","count","percentage"
"Less than 18","Daily",2,33.33
"Less than 18","Occasionally / Rarely",2,33.33
"Less than 18","Once/twice a week (e.g. weekends)",2,33.33
"18-24","4 to 5 days a week",58,36.48
"18-24","Daily",31,19.5
"18-24","Occasionally / Rarely",36,22.64
"18-24","Once/twice a week (e.g. weekends)",34,21.38
"25-34","4 to 5 days a week",8,34.78
"25-34","Daily",5,21.74
"25-34","Occasionally / Rarely",1,4.35
"25-34","Once/twice a week (e.g. weekends)",9,39.13
"35-44","4 to 5 days a week",11,39.29
"35-44","Daily",7,25
"35-44","Occasionally / Rarely",5,17.86
"35-44","Once/twice a week (e.g. weekends)",5,17.86
"45-54","4 to 5 days a week",10,47.62
"45-54","Daily",1,4.76
"45-54","Occasionally / Rarely",1,4.76
"45-54","Once/twice a week (e.g. weekends)",9,42.86
"More than 55","4 to 5 days a week",5,71.43
"More than 55","Once/twice a week (e.g. weekends)",2,28.57
