"location","count","percentage"
"mumbai",142,58.2
"kolhapur",33,13.52
"pune",8,3.28
"bangalore",6,2.46
"vasgade",5,2.05
"ichalkaranji",4,1.64
"palghar",4,1.64
"thane",4,1.64
"ahmedabad",3,1.23
"vasai",3,1.23
"bhopal",2,0.82
"delhi",2,0.82
"gujarat",2,0.82
"kolkata",2,0.82
"bhandup",1,0.41
"bom",1,0.41
"bucharest",1,0.41
"calicut",1,0.41
"chennai",1,0.41
"gurugram",1,0.41
"hyderabad",1,0.41
"indore",1,0.41
"jalandhar",1,0.41
"k",1,0.41
"kalyan",1,0.41
"ketan mehta",1,0.41
"kolhapye",1,0.41
"lagos",1,0.41
"london",1,0.41
"nagala park",1,0.41
"nanded",1,0.41
"nashik",1,0.41
"nellore",1,0.41
"san francisco",1,0.41
"singapore",1,0.41
"vapi",1,0.41
"viman nagar",1,0.41
"virar",1,0.41
