"challenge_wellness_routine","count","percentage"
"Lack of motivation / time",145,24.25
"Don't know where and how to start",99,16.56
"Can't find a good trainer/expert practitioner",78,13.04
"Want a personal trainer but can't afford",72,12.04
"I follow a regular wellness/fitness routine",71,11.87
"Can't afford to spend on gym/classes subscription",66,11.04
"Unavailability of a good gym/classes nearby",62,10.37
"Diet",1,0.17
"Lack of time is all",1,0.17
"Lack of yoga center...so prefer walking  atleast 10000 steps .",1,0.17
"Maintaining a proper diet",1,0.17
"Walking an hour",1,0.17
