"id","challenge_nutrition_routine"
1,"My schedule doesn't permit regularity in my eating habits"
2,"Temptation for junk food"
3,"My schedule doesn't permit regularity in my eating habits"
4,"Can't cook at home"
4,"My schedule doesn't permit regularity in my eating habits"
5,"Lack of understanding what to eat when and in what proportion"
5,"Find it too difficult to follow a routine"
6,"My schedule doesn't permit regularity in my eating habits"
7,"Temptation for junk food"
7,"Find it too difficult to follow a routine"
8,"Lack of understanding what to eat when and in what proportion"
8,"Temptation for junk food"
8,"Find it too difficult to follow a routine"
9,"Temptation for junk food"
9,"My schedule doesn't permit regularity in my eating habits"
10,"Lack of understanding what to eat when and in what proportion"
10,"Temptation for junk food"
10,"Find it too difficult to follow a routine"
11,"My schedule doesn't permit regularity in my eating habits"
11,"Find it too difficult to follow a routine"
12,"Temptation for junk food"
12,"My schedule doesn't permit regularity in my eating habits"
12,"Find it too difficult to follow a routine"
13,"Can't cook at home"
14,"Temptation for junk food"
15,"Temptation for junk food"
15,"My schedule doesn't permit regularity in my eating habits"
15,"Find it too difficult to follow a routine"
16,"Lack of understanding what to eat when and in what proportion"
16,"Temptation for junk food"
16,"My schedule doesn't permit regularity in my eating habits"
16,"Find it too difficult to follow a routine"
17,"I follow a balanced diet routine"
18,"Lack of understanding what to eat when and in what proportion"
18,"My schedule doesn't permit regularity in my eating habits"
19,"Find it too difficult to follow a routine"
20,"Lack of understanding what to eat when and in what proportion"
20,"Temptation for junk food"
21,"Lack of understanding what to eat when and in what proportion"
21,"My schedule doesn't permit regularity in my eating habits"
22,"Find it too difficult to follow a routine"
23,"I follow a balanced diet routine"
24,"I follow a balanced diet routine"
25,"Lack of understanding what to eat when and in what proportion"
25,"My schedule doesn't permit regularity in my eating habits"
26,"Lack of understanding what to eat when and in what proportion"
26,"Temptation for junk food"
26,"My schedule doesn't permit regularity in my eating habits"
26,"Find it too difficult to follow a routine"
27,"Temptation for junk food"
28,"Lack of understanding what to eat when and in what proportion"
28,"Temptation for junk food"
29,"Temptation for junk food"
29,"My schedule doesn't permit regularity in my eating habits"
29,"Find it too difficult to follow a routine"
30,"Lack of understanding what to eat when and in what proportion"
30,"Find it too difficult to follow a routine"
31,"Temptation for junk food"
31,"My schedule doesn't permit regularity in my eating habits"
31,"Find it too difficult to follow a routine"
32,"Lack of understanding what to eat when and in what proportion"
32,"Temptation for junk food"
32,"Can't cook at home"
32,"I follow a balanced diet routine"
33,"Lack of understanding what to eat when and in what proportion"
33,"My schedule doesn't permit regularity in my eating habits"
33,"Find it too difficult to follow a routine"
34,"Temptation for junk food"
34,"Can't cook at home"
34,"Find it too difficult to follow a routine"
35,"Lack of understanding what to eat when and in what proportion"
