"id","challenge_wellness_routine"
1,"Want a personal trainer but can't afford"
1,"Lack of motivation / time"
2,"Lack of motivation / time"
3,"I follow a regular wellness/fitness routine"
4,"I follow a regular wellness/fitness routine"
5,"Want a personal trainer but can't afford"
5,"Can't find a good trainer/expert practitioner"
6,"Lack of motivation / time"
7,"Don't know where and how to start"
7,"Lack of motivation / time"
8,"Don't know where and how to start"
8,"Want a personal trainer but can't afford"
8,"Can't find a good trainer/expert practitioner"
8,"Lack of motivation / time"
9,"Don't know where and how to start"
9,"Lack of motivation / time"
10,"Unavailability of a good gym/classes nearby"
10,"Lack of motivation / time"
11,"Lack of motivation / time"
12,"I follow a regular wellness/fitness routine"
13,"Don't know where and how to start"
14,"Lack of motivation / time"
15,"I follow a regular wellness/fitness routine"
16,"Want a personal trainer but can't afford"
16,"Can't find a good trainer/expert practitioner"
16,"Unavailability of a good gym/classes nearby"
16,"Lack of motivation / time"
17,"I follow a regular wellness/fitness routine"
18,"Can't find a good trainer/expert practitioner"
18,"Lack of motivation / time"
19,"Lack of motivation / time"
20,"Don't know where and how to start"
21,"Unavailability of a good gym/classes nearby"
22,"Lack of motivation / time"
23,"I follow a regular wellness/fitness routine"
24,"Lack of motivation / time"
25,"Don't know where and how to start"
25,"Can't afford to spend on gym/classes subscription"
25,"Lack of motivation / time"
26,"Don't know where and how to start"
26,"Lack of motivation / time"
27,"Lack of motivation / time"
28,"Lack of motivation / time"
29,"Can't afford to spend on gym/classes subscription"
29,"Lack of motivation / time"
30,"Maintaining a proper diet"
31,"Don't know where and how to start"
31,"Unavailability of a good gym/classes nearby"
31,"Lack of motivation / time"
32,"Don't know where and how to start"
32,"Unavailability of a good gym/classes nearby"
32,"Can't afford to spend on gym/classes subscription"
32,"Lack of motivation / time"
32,"I follow a regular wellness/fitness routine"
33,"Don't know where and how to start"
33,"Lack of motivation / time"
34,"Can't find a good trainer/expert practitioner"
34,"Lack of motivation / time"
35,"Don't know where and how to start"
35,"Lack of motivation / time"
36,"Unavailability of a good gym/classes nearby"
36,"Can't afford to spend on gym/classes subscription"
36,"Lack of motivation / time"
37,"Lack of motivation / time"
37,"I follow a regular wellness/fitness routine"
38,"Don't know where and how to start"
39,"Lack of motivation / time"
40,"Lack of motivation / time"
41,"Unavailability of a good gym/classes nearby"
42,"Lack of motivation / time"
43,"I follow a regular wellness/fitness routine"
44,"Don't know where and how to start"
44,"Lack of motivation / time"
45,"Don't know where and how to start"
46,"Don't know where and how to start"
46,"Can't find a good trainer/expert practitioner"
46,"Lack of motivation / time"
47,"Lack of motivation / time"
48,"Can't find a good trainer/expert practitioner"
49,"Want a personal trainer but can't afford"
49,"Can't find a good trainer/expert practitioner"
50,"Want a personal trainer but can't afford"
50,"Unavailability of a good gym/classes nearby"
50,"Can't afford to spend on gym/classes subscription"
51,"Want a personal trainer but can't afford"
51,"Can't find a good trainer/expert practitioner"
52,"I follow a regular wellness/fitness routine"
53,"Lack of motivation / time"
54,"Lack of motivation / time"
55,"Lack of motivation / time"
56,"I follow a regular wellness/fitness routine"
57,"Don't know where and how to start"
57,"Lack of motivation / time"
57,"I follow a regular wellness/fitness routine"
58,"Lack of motivation / time"
59,"I follow a regular wellness/fitness routine"
60,"Want a personal trainer but can't afford"
60,"Unavailability of a good gym/classes nearby"
60,"Lack of motivation / time"
61,"Want a personal trainer but can't afford"
61,"Unavailability of a good gym/classes nearby"
61,"Lack of motivation / time"
62,"Want a personal trainer but can't afford"
62,"Can't find a good trainer/expert practitioner"
62,"Can't afford to spend on gym/classes subscription"
62,"Lack of motivation / time"
62,"I follow a regular wellness/fitness routine"
63,"Don't know where and how to start"
63,"Want a personal trainer but can't afford"
63,"Unavailability of a good gym/classes nearby"
64,"Don't know where and how to start"
64,"Can't find a good trainer/expert practitioner"
64,"Unavailability of a good gym/classes nearby"
64,"Can't afford to spend on gym/classes subscription"
65,"Want a personal trainer but can't afford"
65,"Can't find a good trainer/expert practitioner"
65,"Can't afford to spend on gym/classes subscription"
65,"Lack of motivation / time"
66,"Don't know where and how to start"
66,"Lack of motivation / time"
67,"Want a personal trainer but can't afford"
67,"Can't find a good trainer/expert practitioner"
67,"Lack of motivation / time"
68,"Want a personal trainer but can't afford"
69,"Don't know where and how to start"
69,"Lack of motivation / time"
70,"Can't find a good trainer/expert practitioner"
71,"Don't know where and how to start"
72,"Lack of motivation / time"
73,"I follow a regular wellness/fitness routine"
74,"Don't know where and how to start"
75,"Lack of time is all"
76,"Don't know where and how to start"
76,"Want a personal trainer but can't afford"
76,"Can't find a good trainer/expert practitioner"
76,"Unavailability of a good gym/classes nearby"
77,"Lack of motivation / time"
78,"Don't know where and how to start"
78,"Lack of motivation / time"
79,"Want a personal trainer but can't afford"
79,"Lack of motivation / time"
80,"I follow a regular wellness/fitness routine"
81,"Walking an hour"
82,"Don't know where and how to start"
82,"Can't find a good trainer/expert practitioner"
82,"Lack of motivation / time"
83,"Lack of motivation / time"
84,"Lack of motivation / time"
85,"Don't know where and how to start"
85,"Want a personal trainer but can't afford"
85,"Unavailability of a good gym/classes nearby"
85,"Can't afford to spend on gym/classes subscription"
85,"Lack of motivation / time"
86,"Don't know where and how to start"
86,"Want a personal trainer but can't afford"
86,"Can't find a good trainer/expert practitioner"
86,"Unavailability of a good gym/classes nearby"
86,"Can't afford to spend on gym/classes subscription"
86,"Lack of motivation / time"
87,"Don't know where and how to start"
87,"Want a personal trainer but can't afford"
87,"Can't find a good trainer/expert practitioner"
87,"Can't afford to spend on gym/classes subscription"
87,"Lack of motivation / time"
88,"Don't know where and how to start"
88,"Want a personal trainer but can't afford"
88,"Unavailability of a good gym/classes nearby"
88,"Can't afford to spend on gym/classes subscription"
89,"Don't know where and how to start"
89,"Can't find a good trainer/expert practitioner"
89,"Unavailability of a good gym/classes nearby"
89,"Can't afford to spend on gym/classes subscription"
89,"I follow a regular wellness/fitness routine"
90,"Want a personal trainer but can't afford"
90,"Can't find a good trainer/expert practitioner"
90,"Unavailability of a good gym/classes nearby"
90,"Lack of motivation / time"
90,"I follow a regular wellness/fitness routine"
91,"Don't know where and how to start"
91,"Want a personal trainer but can't afford"
91,"Can't find a good trainer/expert practitioner"
91,"Lack of motivation / time"
91,"I follow a regular wellness/fitness routine"
92,"Don't know where and how to start"
92,"Want a personal trainer but can't afford"
92,"Can't find a good trainer/expert practitioner"
92,"Can't afford to spend on gym/classes subscription"
92,"Lack of motivation / time"
93,"Don't know where and how to start"
93,"Can't find a good trainer/expert practitioner"
93,"Unavailability of a good gym/classes nearby"
93,"Can't afford to spend on gym/classes subscription"
93,"Lack of motivation / time"
94,"Don't know where and how to start"
94,"Want a personal trainer but can't afford"
94,"Can't find a good trainer/expert practitioner"
94,"Unavailability of a good gym/classes nearby"
94,"Can't afford to spend on gym/classes subscription"
94,"Lack of motivation / time"
95,"Want a personal trainer but can't afford"
95,"Unavailability of a good gym/classes nearby"
95,"Lack of motivation / time"
95,"I follow a regular wellness/fitness routine"
96,"Don't know where and how to start"
96,"Want a personal trainer but can't afford"
96,"Can't find a good trainer/expert practitioner"
96,"Unavailability of a good gym/classes nearby"
96,"Can't afford to spend on gym/classes subscription"
97,"Want a personal trainer but can't afford"
97,"Can't find a good trainer/expert practitioner"
97,"Unavailability of a good gym/classes nearby"
97,"Lack of motivation / time"
98,"Don't know where and how to start"
98,"Can't find a good trainer/expert practitioner"
98,"Unavailability of a good gym/classes nearby"
98,"Lack of motivation / time"
99,"Lack of motivation / time"
100,"I follow a regular wellness/fitness routine"
101,"Want a personal trainer but can't afford"
102,"Lack of motivation / time"
103,"Don't know where and how to start"
104,"I follow a regular wellness/fitness routine"
105,"Don't know where and how to start"
106,"I follow a regular wellness/fitness routine"
107,"I follow a regular wellness/fitness routine"
108,"Don't know where and how to start"
108,"Can't find a good trainer/expert practitioner"
108,"Unavailability of a good gym/classes nearby"
108,"Can't afford to spend on gym/classes subscription"
109,"Don't know where and how to start"
109,"Can't find a good trainer/expert practitioner"
109,"Lack of motivation / time"
110,"Don't know where and how to start"
110,"Lack of motivation / time"
111,"Don't know where and how to start"
111,"Lack of motivation / time"
112,"Don't know where and how to start"
112,"Want a personal trainer but can't afford"
112,"Lack of motivation / time"
113,"Don't know where and how to start"
113,"Want a personal trainer but can't afford"
114,"Want a personal trainer but can't afford"
114,"Lack of motivation / time"
115,"I follow a regular wellness/fitness routine"
116,"Can't afford to spend on gym/classes subscription"
117,"I follow a regular wellness/fitness routine"
118,"Don't know where and how to start"
118,"Want a personal trainer but can't afford"
118,"Can't find a good trainer/expert practitioner"
118,"Can't afford to spend on gym/classes subscription"
118,"Lack of motivation / time"
119,"Don't know where and how to start"
119,"Lack of motivation / time"
120,"Don't know where and how to start"
120,"Want a personal trainer but can't afford"
120,"Lack of motivation / time"
121,"Can't find a good trainer/expert practitioner"
121,"Lack of motivation / time"
122,"Don't know where and how to start"
123,"Don't know where and how to start"
123,"Can't find a good trainer/expert practitioner"
123,"Unavailability of a good gym/classes nearby"
124,"Want a personal trainer but can't afford"
124,"Can't afford to spend on gym/classes subscription"
124,"Lack of motivation / time"
125,"Want a personal trainer but can't afford"
125,"Unavailability of a good gym/classes nearby"
125,"Lack of motivation / time"
126,"Don't know where and how to start"
126,"Want a personal trainer but can't afford"
126,"Can't find a good trainer/expert practitioner"
127,"Lack of motivation / time"
128,"I follow a regular wellness/fitness routine"
129,"Lack of motivation / time"
130,"I follow a regular wellness/fitness routine"
131,"Lack of motivation / time"
132,"Lack of motivation / time"
133,"Don't know where and how to start"
133,"Lack of motivation / time"
134,"Unavailability of a good gym/classes nearby"
134,"Lack of motivation / time"
135,"Can't afford to spend on gym/classes subscription"
135,"Lack of motivation / time"
136,"Can't afford to spend on gym/classes subscription"
136,"Lack of motivation / time"
137,"Lack of motivation / time"
137,"I follow a regular wellness/fitness routine"
138,"Unavailability of a good gym/classes nearby"
138,"Lack of motivation / time"
139,"Don't know where and how to start"
139,"Can't afford to spend on gym/classes subscription"
139,"Lack of motivation / time"
140,"Don't know where and how to start"
140,"Can't find a good trainer/expert practitioner"
140,"Can't afford to spend on gym/classes subscription"
140,"Lack of motivation / time"
141,"Want a personal trainer but can't afford"
141,"Can't find a good trainer/expert practitioner"
141,"Can't afford to spend on gym/classes subscription"
141,"Lack of motivation / time"
141,"I follow a regular wellness/fitness routine"
142,"Don't know where and how to start"
142,"Want a personal trainer but can't afford"
142,"Can't find a good trainer/expert practitioner"
142,"Unavailability of a good gym/classes nearby"
142,"Can't afford to spend on gym/classes subscription"
142,"Lack of motivation / time"
142,"I follow a regular wellness/fitness routine"
143,"Don't know where and how to start"
143,"Want a personal trainer but can't afford"
143,"Unavailability of a good gym/classes nearby"
143,"Can't afford to spend on gym/classes subscription"
143,"Lack of motivation / time"
144,"Don't know where and how to start"
144,"Want a personal trainer but can't afford"
144,"Can't afford to spend on gym/classes subscription"
144,"Lack of motivation / time"
145,"Don't know where and how to start"
145,"Can't find a good trainer/expert practitioner"
145,"Unavailability of a good gym/classes nearby"
146,"Want a personal trainer but can't afford"
146,"Lack of motivation / time"
147,"Unavailability of a good gym/classes nearby"
147,"Lack of motivation / time"
148,"Want a personal trainer but can't afford"
148,"Can't find a good trainer/expert practitioner"
148,"I follow a regular wellness/fitness routine"
149,"I follow a regular wellness/fitness routine"
150,"Want a personal trainer but can't afford"
150,"I follow a regular wellness/fitness routine"
151,"I follow a regular wellness/fitness routine"
152,"Lack of motivation / time"
153,"Lack of motivation / time"
154,"Don't know where and how to start"
154,"Can't afford to spend on gym/classes subscription"
154,"Lack of motivation / time"
155,"Don't know where and how to start"
155,"Want a personal trainer but can't afford"
155,"Unavailability of a good gym/classes nearby"
155,"I follow a regular wellness/fitness routine"
156,"Want a personal trainer but can't afford"
156,"Can't find a good trainer/expert practitioner"
156,"Can't afford to spend on gym/classes subscription"
156,"I follow a regular wellness/fitness routine"
157,"Don't know where and how to start"
157,"Unavailability of a good gym/classes nearby"
157,"Can't afford to spend on gym/classes subscription"
157,"Lack of motivation / time"
158,"Don't know where and how to start"
158,"Can't afford to spend on gym/classes subscription"
158,"I follow a regular wellness/fitness routine"
159,"Don't know where and how to start"
159,"Unavailability of a good gym/classes nearby"
159,"Can't afford to spend on gym/classes subscription"
159,"Lack of motivation / time"
160,"Want a personal trainer but can't afford"
160,"Unavailability of a good gym/classes nearby"
160,"Can't afford to spend on gym/classes subscription"
160,"Lack of motivation / time"
161,"Want a personal trainer but can't afford"
161,"Can't find a good trainer/expert practitioner"
161,"Can't afford to spend on gym/classes subscription"
161,"Lack of motivation / time"
161,"I follow a regular wellness/fitness routine"
162,"Don't know where and how to start"
162,"Want a personal trainer but can't afford"
162,"Can't find a good trainer/expert practitioner"
162,"Unavailability of a good gym/classes nearby"
162,"Can't afford to spend on gym/classes subscription"
163,"Don't know where and how to start"
163,"Unavailability of a good gym/classes nearby"
163,"Can't afford to spend on gym/classes subscription"
163,"Lack of motivation / time"
164,"Want a personal trainer but can't afford"
164,"Can't find a good trainer/expert practitioner"
164,"Can't afford to spend on gym/classes subscription"
165,"Don't know where and how to start"
165,"Can't find a good trainer/expert practitioner"
165,"Can't afford to spend on gym/classes subscription"
166,"Don't know where and how to start"
166,"Can't find a good trainer/expert practitioner"
166,"Can't afford to spend on gym/classes subscription"
166,"Lack of motivation / time"
167,"Don't know where and how to start"
167,"Can't find a good trainer/expert practitioner"
167,"Unavailability of a good gym/classes nearby"
167,"Can't afford to spend on gym/classes subscription"
168,"Don't know where and how to start"
168,"Want a personal trainer but can't afford"
168,"Unavailability of a good gym/classes nearby"
169,"Don't know where and how to start"
169,"Unavailability of a good gym/classes nearby"
169,"Can't afford to spend on gym/classes subscription"
169,"Lack of motivation / time"
169,"I follow a regular wellness/fitness routine"
170,"Don't know where and how to start"
170,"Can't find a good trainer/expert practitioner"
170,"Can't afford to spend on gym/classes subscription"
170,"I follow a regular wellness/fitness routine"
171,"Can't find a good trainer/expert practitioner"
171,"Can't afford to spend on gym/classes subscription"
171,"I follow a regular wellness/fitness routine"
172,"Want a personal trainer but can't afford"
172,"Can't find a good trainer/expert practitioner"
172,"Lack of motivation / time"
172,"I follow a regular wellness/fitness routine"
173,"Want a personal trainer but can't afford"
173,"Can't find a good trainer/expert practitioner"
173,"Can't afford to spend on gym/classes subscription"
173,"I follow a regular wellness/fitness routine"
174,"Can't find a good trainer/expert practitioner"
174,"Can't afford to spend on gym/classes subscription"
174,"Lack of motivation / time"
175,"Want a personal trainer but can't afford"
175,"Can't find a good trainer/expert practitioner"
175,"Can't afford to spend on gym/classes subscription"
175,"Lack of motivation / time"
176,"Want a personal trainer but can't afford"
176,"Can't afford to spend on gym/classes subscription"
176,"Lack of motivation / time"
177,"Want a personal trainer but can't afford"
177,"Can't find a good trainer/expert practitioner"
177,"Unavailability of a good gym/classes nearby"
177,"I follow a regular wellness/fitness routine"
178,"Can't find a good trainer/expert practitioner"
178,"Can't afford to spend on gym/classes subscription"
178,"Lack of motivation / time"
178,"I follow a regular wellness/fitness routine"
179,"Want a personal trainer but can't afford"
179,"Lack of motivation / time"
179,"I follow a regular wellness/fitness routine"
180,"Can't find a good trainer/expert practitioner"
181,"Can't find a good trainer/expert practitioner"
181,"Unavailability of a good gym/classes nearby"
181,"Can't afford to spend on gym/classes subscription"
181,"I follow a regular wellness/fitness routine"
182,"Don't know where and how to start"
182,"Want a personal trainer but can't afford"
182,"Can't find a good trainer/expert practitioner"
182,"Lack of motivation / time"
183,"I follow a regular wellness/fitness routine"
184,"Unavailability of a good gym/classes nearby"
184,"Can't afford to spend on gym/classes subscription"
184,"Lack of motivation / time"
185,"Don't know where and how to start"
186,"Don't know where and how to start"
187,"Don't know where and how to start"
187,"Lack of motivation / time"
188,"Want a personal trainer but can't afford"
188,"Unavailability of a good gym/classes nearby"
188,"I follow a regular wellness/fitness routine"
188,"Lack of yoga center...so prefer walking  atleast 10000 steps ."
189,"Don't know where and how to start"
189,"Lack of motivation / time"
190,"Want a personal trainer but can't afford"
191,"Don't know where and how to start"
191,"Lack of motivation / time"
192,"I follow a regular wellness/fitness routine"
193,"I follow a regular wellness/fitness routine"
194,"I follow a regular wellness/fitness routine"
195,"Diet"
196,"Can't find a good trainer/expert practitioner"
196,"I follow a regular wellness/fitness routine"
197,"Unavailability of a good gym/classes nearby"
197,"Can't afford to spend on gym/classes subscription"
197,"Lack of motivation / time"
198,"Don't know where and how to start"
198,"Lack of motivation / time"
199,"I follow a regular wellness/fitness routine"
200,"Don't know where and how to start"
200,"Lack of motivation / time"
201,"I follow a regular wellness/fitness routine"
202,"Want a personal trainer but can't afford"
203,"Don't know where and how to start"
203,"Lack of motivation / time"
204,"Don't know where and how to start"
204,"Can't find a good trainer/expert practitioner"
204,"Unavailability of a good gym/classes nearby"
204,"Lack of motivation / time"
205,"Don't know where and how to start"
205,"Want a personal trainer but can't afford"
205,"Can't find a good trainer/expert practitioner"
205,"Unavailability of a good gym/classes nearby"
205,"I follow a regular wellness/fitness routine"
206,"Don't know where and how to start"
206,"Can't find a good trainer/expert practitioner"
206,"Can't afford to spend on gym/classes subscription"
206,"Lack of motivation / time"
206,"I follow a regular wellness/fitness routine"
207,"Can't find a good trainer/expert practitioner"
207,"Can't afford to spend on gym/classes subscription"
207,"Lack of motivation / time"
207,"I follow a regular wellness/fitness routine"
208,"Don't know where and how to start"
208,"Can't find a good trainer/expert practitioner"
208,"Unavailability of a good gym/classes nearby"
208,"I follow a regular wellness/fitness routine"
209,"Want a personal trainer but can't afford"
209,"Unavailability of a good gym/classes nearby"
209,"Lack of motivation / time"
210,"Don't know where and how to start"
210,"Can't find a good trainer/expert practitioner"
210,"Lack of motivation / time"
211,"Want a personal trainer but can't afford"
211,"Can't find a good trainer/expert practitioner"
211,"Lack of motivation / time"
211,"I follow a regular wellness/fitness routine"
212,"Can't find a good trainer/expert practitioner"
212,"Can't afford to spend on gym/classes subscription"
212,"Lack of motivation / time"
212,"I follow a regular wellness/fitness routine"
213,"Can't find a good trainer/expert practitioner"
213,"Unavailability of a good gym/classes nearby"
214,"Don't know where and how to start"
214,"Can't afford to spend on gym/classes subscription"
214,"I follow a regular wellness/fitness routine"
215,"Lack of motivation / time"
216,"Don't know where and how to start"
216,"Want a personal trainer but can't afford"
216,"Unavailability of a good gym/classes nearby"
216,"Lack of motivation / time"
217,"Can't find a good trainer/expert practitioner"
217,"Can't afford to spend on gym/classes subscription"
217,"Lack of motivation / time"
218,"Don't know where and how to start"
218,"Can't find a good trainer/expert practitioner"
218,"Unavailability of a good gym/classes nearby"
218,"Lack of motivation / time"
219,"Don't know where and how to start"
219,"Want a personal trainer but can't afford"
219,"Can't find a good trainer/expert practitioner"
219,"Unavailability of a good gym/classes nearby"
219,"Can't afford to spend on gym/classes subscription"
219,"I follow a regular wellness/fitness routine"
220,"Want a personal trainer but can't afford"
220,"Can't find a good trainer/expert practitioner"
220,"Can't afford to spend on gym/classes subscription"
220,"Lack of motivation / time"
221,"Can't find a good trainer/expert practitioner"
221,"Can't afford to spend on gym/classes subscription"
221,"Lack of motivation / time"
222,"Don't know where and how to start"
222,"Want a personal trainer but can't afford"
222,"Unavailability of a good gym/classes nearby"
222,"Can't afford to spend on gym/classes subscription"
222,"I follow a regular wellness/fitness routine"
223,"Can't find a good trainer/expert practitioner"
223,"Can't afford to spend on gym/classes subscription"
223,"I follow a regular wellness/fitness routine"
224,"Don't know where and how to start"
224,"I follow a regular wellness/fitness routine"
225,"I follow a regular wellness/fitness routine"
226,"Lack of motivation / time"
227,"Don't know where and how to start"
227,"Can't find a good trainer/expert practitioner"
228,"Don't know where and how to start"
228,"Lack of motivation / time"
229,"Don't know where and how to start"
229,"Want a personal trainer but can't afford"
229,"Can't afford to spend on gym/classes subscription"
229,"Lack of motivation / time"
230,"Lack of motivation / time"
231,"I follow a regular wellness/fitness routine"
232,"Don't know where and how to start"
232,"Want a personal trainer but can't afford"
232,"Lack of motivation / time"
233,"I follow a regular wellness/fitness routine"
234,"Don't know where and how to start"
234,"Lack of motivation / time"
235,"Don't know where and how to start"
235,"Want a personal trainer but can't afford"
235,"Can't find a good trainer/expert practitioner"
235,"Lack of motivation / time"
236,"Don't know where and how to start"
236,"Can't find a good trainer/expert practitioner"
236,"Unavailability of a good gym/classes nearby"
236,"Lack of motivation / time"
237,"Unavailability of a good gym/classes nearby"
237,"Lack of motivation / time"
238,"Want a personal trainer but can't afford"
238,"Unavailability of a good gym/classes nearby"
238,"Lack of motivation / time"
239,"Can't find a good trainer/expert practitioner"
239,"Can't afford to spend on gym/classes subscription"
239,"Lack of motivation / time"
240,"Want a personal trainer but can't afford"
240,"Unavailability of a good gym/classes nearby"
240,"I follow a regular wellness/fitness routine"
241,"Don't know where and how to start"
241,"Can't find a good trainer/expert practitioner"
241,"Unavailability of a good gym/classes nearby"
241,"Can't afford to spend on gym/classes subscription"
242,"Don't know where and how to start"
242,"Lack of motivation / time"
243,"Can't find a good trainer/expert practitioner"
243,"Unavailability of a good gym/classes nearby"
243,"Lack of motivation / time"
244,"Lack of motivation / time"
