"variable","category","count","percentage"
"timestamp","2022-11-08 17:34:58.275",1,0.41
"timestamp","2022-11-08 17:47:17.982",1,0.41
"timestamp","2022-11-08 17:55:19.876",1,0.41
"timestamp","2022-11-08 18:01:11.935",1,0.41
"timestamp","2022-11-08 18:22:13.198",1,0.41
"timestamp","2022-11-08 18:24:07.298",1,0.41
"timestamp","2022-11-08 18:27:05.809",1,0.41
"timestamp","2022-11-08 18:27:12.682",1,0.41
"timestamp","2022-11-08 18:29:44.736",1,0.41
"timestamp","2022-11-08 18:33:29.007",1,0.41
"timestamp","2022-11-08 18:34:41.756",1,0.41
"timestamp","2022-11-08 18:40:00.572",1,0.41
"timestamp","2022-11-08 18:40:40.587",1,0.41
"timestamp","2022-11-08 18:41:02.031",1,0.41
"timestamp","2022-11-08 18:44:23.077",1,0.41
"timestamp","2022-11-08 18:44:53.71",1,0.41
"timestamp","2022-11-08 18:45:34.384",1,0.41
"timestamp","2022-11-08 18:45:48.401",1,0.41
"timestamp","2022-11-08 18:50:47.221",1,0.41
"timestamp","2022-11-08 18:53:06.111",1,0.41
"timestamp","2022-11-08 18:53:18.116",1,0.41
"timestamp","2022-11-08 19:09:27.957",1,0.41
"timestamp","2022-11-08 19:14:14.777",1,0.41
"timestamp","2022-11-08 19:24:09.799",1,0.41
"timestamp","2022-11-08 19:25:17.905",1,0.41
"timestamp","2022-11-08 19:35:25.417",1,0.41
"timestamp","2022-11-08 19:40:05.706",1,0.41
"timestamp","2022-11-08 19:47:27.377",1,0.41
"timestamp","2022-11-08 19:56:16.429",1,0.41
"timestamp","2022-11-08 20:01:30.664",1,0.41
"timestamp","2022-11-08 20:07:20.834",1,0.41
"timestamp","2022-11-08 20:13:23.585",1,0.41
"timestamp","2022-11-08 20:23:33.443",1,0.41
"timestamp","2022-11-08 20:50:14.064",1,0.41
"timestamp","2022-11-08 20:54:44.006",1,0.41
"timestamp","2022-11-08 21:02:02.969",1,0.41
"timestamp","2022-11-08 21:08:40.917",1,0.41
"timestamp","2022-11-08 21:16:49.735",1,0.41
"timestamp","2022-11-08 21:20:02.786",1,0.41
"timestamp","2022-11-08 21:24:47.024",1,0.41
"timestamp","2022-11-08 21:30:20.432",1,0.41
"timestamp","2022-11-08 21:30:55.993",1,0.41
"timestamp","2022-11-08 21:33:51.958",1,0.41
"timestamp","2022-11-08 21:36:29.454",1,0.41
