"id","timestamp","location","gender","age","education","wellness_routine","challenge_wellness_routine","frequency_wellness_routine","duration_wellness_routine","purpose_wellness_routine","location_wellness_routine","simple_target_exercises","nutrition_importance","challenge_nutrition_routine","remote_training_likelihood","online_service_challenges","willingness_to_pay","ideal_subscription_cycle","price_of_service","expertise_credibility","language_instructions","flexibility_time_slots","availability_hybrid_options"
1,2022-11-08 17:34:58.275,"mumbai","Male","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Lack of motivation / time","Once/twice a week (e.g. weekends)","31-45","Weight loss/gain","Home - without equipment",3,5,"My schedule doesn't permit regularity in my eating habits","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly","Not more than Rs. 500","Annual subscription with price discount benefits","Very Important","Important","Neutral","Very Important","Important"
2,2022-11-08 17:47:17.982,"palghar","Male","18-24","High school","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",3,5,"Temptation for junk food","I am interested to try out","I don’t think online training is effective","Not more than Rs. 500",NA,"Not important at all","Very Important","Very Important","Very Important","Very Important"
3,2022-11-08 17:55:19.876,"mumbai","Male","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","I follow a regular wellness/fitness routine","4 to 5 days a week","31-45","Body building","Gym / Studio",5,5,"My schedule doesn't permit regularity in my eating habits","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Very Important","Very Important","Very Important","Very Important","Very Important"
4,2022-11-08 18:01:11.935,"mumbai","Male","18-24","College","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","I follow a regular wellness/fitness routine","4 to 5 days a week","More than 60","Body building","Gym / Studio",5,5,"Can't cook at home, My schedule doesn't permit regularity in my eating habits","I have already tried","I don't want to invest in buying any accessories at home","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Not important at all","Not so important","Not so important","Not so important","Not so important"
5,2022-11-08 18:22:13.198,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner","4 to 5 days a week","15-30","Stress/anxiety reduction and/or attain mindfulness","Gym / Studio",5,4,"Lack of understanding what to eat when and in what proportion, Find it too difficult to follow a routine","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Very Important","Important","Not so important","Neutral"
6,2022-11-08 18:24:07.298,"mumbai","Male","18-24","High school","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","Less than 15","General fitness/strength/flexibility/stamina","Home - without equipment",1,4,"My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Important","Important","Important","Important","Important"
7,2022-11-08 18:27:05.809,"mumbai","Male","45-54","Post-Graduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time","Once/twice a week (e.g. weekends)","15-30","General fitness/strength/flexibility/stamina","Home - with equipment",3,5,"Temptation for junk food, Find it too difficult to follow a routine","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Neutral","Very Important","Not so important","Important","Important"
8,2022-11-08 18:27:12.682,"mumbai","Male","18-24","High school","I don't follow any wellness/fitness routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time","Occasionally / Rarely","Less than 15","Body building","Home - without equipment",1,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine","I am interested to try out","I don't want to invest in buying any accessories at home","Rs. 500 - 1000","Annual subscription with price discount benefits","Important","Important","Not important at all","Important","Important"
9,2022-11-08 18:29:44.736,"mumbai","Female","Less than 18","High school","Yoga & breathing exercises","Don't know where and how to start, Lack of motivation / time","Occasionally / Rarely","31-45","Weight loss/gain","Home - without equipment",4,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 1000-2500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Very Important","Very Important","Important","Very Important","Neutral"
10,2022-11-08 18:33:29.007,"mumbai","Female","18-24","College","I don't follow any wellness/fitness routine","Unavailability of a good gym/classes nearby, Lack of motivation / time","Occasionally / Rarely","Less than 15","General fitness/strength/flexibility/stamina","Home - without equipment",4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Important","Very Important","Very Important","Very Important","Very Important"
11,2022-11-08 18:34:41.756,"mumbai","Male","18-24","Post-Graduate","Yoga & breathing exercises","Lack of motivation / time","Once/twice a week (e.g. weekends)","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",4,5,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I am not interested to try","I don’t think online training is effective","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Not important at all","Not so important","Not so important","Not important at all","Not important at all"
12,2022-11-08 18:40:00.572,"indore","Female","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","I follow a regular wellness/fitness routine","4 to 5 days a week","More than 60","General fitness/strength/flexibility/stamina","Gym / Studio",4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I have already tried","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","Rs. 1000-2500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Neutral","Very Important","Important","Very Important","Very Important"
13,2022-11-08 18:40:40.587,"k","Female","More than 55","Undergraduate","I don't follow any wellness/fitness routine","Don't know where and how to start","4 to 5 days a week","31-45","Body building","Home - with equipment",2,3,"Can't cook at home","I am interested to try out","I don't want to invest in buying any accessories at home","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Not so important","Not so important","Not so important","Not so important","Not important at all"
14,2022-11-08 18:41:02.031,"mumbai","Female","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time","Once/twice a week (e.g. weekends)","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",3,5,"Temptation for junk food","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Very Important","Important","Important","Very Important"
15,2022-11-08 18:44:23.077,"mumbai","Male","18-24","College","Meditation/Mindfulness practice","I follow a regular wellness/fitness routine","Daily","15-30","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",5,3,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Annual subscription with price discount benefits","Very Important","Very Important","Very Important","Very Important","Very Important"
16,2022-11-08 18:44:53.71,"mumbai","Male","18-24","Undergraduate","Yoga & breathing exercises","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time","4 to 5 days a week","31-45","Body building","Home - with equipment",4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Not so important","Not so important","Important","Important","Neutral"
17,2022-11-08 18:45:34.384,"mumbai","Male","18-24","High school","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","I follow a regular wellness/fitness routine","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Gym / Studio",5,5,"I follow a balanced diet routine","I am not interested to try","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Important","Very Important","Important","Very Important","Very Important"
18,2022-11-08 18:45:48.401,"mumbai","Male","18-24","High school","Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Lack of motivation / time","4 to 5 days a week","31-45","Weight loss/gain","Gym / Studio",4,4,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","Rs. 2500-5000","Annual subscription with price discount benefits","Important","Neutral","Important","Neutral","Important"
19,2022-11-08 18:50:47.221,"mumbai","Male","18-24","High school","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","31-45","Weight loss/gain","Home - without equipment",3,5,"Find it too difficult to follow a routine","I am interested to try out","2.0","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Very Important","Very Important","Very Important","Very Important","Very Important"
20,2022-11-08 18:53:06.111,"mumbai","Female","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start","Once/twice a week (e.g. weekends)","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",5,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food","I have already tried","I don't want to invest in buying any accessories at home","Not more than Rs. 500","Annual subscription with price discount benefits","Very Important","Very Important","Very Important","Very Important","Very Important"
21,2022-11-08 18:53:18.116,"mumbai","Male","18-24","College","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Unavailability of a good gym/classes nearby","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Gym / Studio",3,3,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits","I am not interested to try","I don’t think online training is effective, I don't want to invest in buying any accessories at home","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Important","Important","Important","Important","Important"
22,2022-11-08 19:09:27.957,"mumbai","Female","18-24","Undergraduate","Yoga & breathing exercises","Lack of motivation / time","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","Gym / Studio",3,4,"Find it too difficult to follow a routine","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode","Rs. 500 - 1000","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Important","Important","Important","Very Important","Important"
